Lat	35.04
Lon	-106.62
Alt	1619

yy	mm	dd	HH	MM	ss	datenum	Sun_Azimuth	ApparentSunEl	
2018	1	1	10	0	0	737061.4166666666	147.0883238063749	24.33946561220313
2018	1	2	10	0	0	737062.4166666666	146.9375579645566	24.36577957078567
2018	1	3	10	0	0	737063.4166666666	146.7839174680186	24.3990918130445
2018	1	4	10	0	0	737064.4166666666	146.627494079378	24.43940408775378
2018	1	5	10	0	0	737065.4166666666	146.4683787553051	24.48671455706533
2018	1	6	10	0	0	737066.4166666666	146.3066615470273	24.54101779659923
2018	1	7	10	0	0	737067.4166666666	146.1424315016078	24.60230479908275
2018	1	8	10	0	0	737068.4166666666	145.9757765638488	24.67056298135805
2018	1	9	10	0	0	737069.4166666666	145.8067834792978	24.74577619485504
2018	1	10	10	0	0	737070.4166666666	145.6355376984089	24.82792473941957
2018	1	11	10	0	0	737071.4166666666	145.462123282071	24.91698538045734
2018	1	12	10	0	0	737072.4166666666	145.2866228085961	25.0129313692958
2018	1	13	10	0	0	737073.4166666666	145.109117282576	25.11573246680422
2018	1	14	10	0	0	737074.4166666666	144.9296860454993	25.22535497006719
2018	1	15	10	0	0	737075.4166666666	144.7484066884966	25.3417617421076
2018	1	16	10	0	0	737076.4166666666	144.56535496721	25.46491224453633
2018	1	17	10	0	0	737077.4166666666	144.3806047191941	25.59476257308755
2018	1	18	10	0	0	737078.4166666666	144.1942277835309	25.73126549580026
2018	1	19	10	0	0	737079.4166666666	144.0062939233585	25.87437049393064
2018	1	20	10	0	0	737080.4166666666	143.8168707508825	26.02402380527218
2018	1	21	10	0	0	737081.4166666666	143.6260236554433	26.18016846995509
2018	1	22	10	0	0	737082.4166666666	143.4338157344153	26.34274437844365
2018	1	23	10	0	0	737083.4166666666	143.240307727177	26.51168832169872
2018	1	24	10	0	0	737084.4166666666	143.0455579521734	26.68693404330556
2018	1	25	10	0	0	737085.4166666666	142.8496222473066	26.86841229353272
2018	1	26	10	0	0	737086.4166666666	142.6525539133226	27.05605088500424
2018	1	27	10	0	0	737087.4166666666	142.4544036608382	27.24977475008027
2018	1	28	10	0	0	737088.4166666666	142.2552195603951	27.44950599955236
2018	1	29	10	0	0	737089.4166666666	142.0550469961801	27.6551639827522
2018	1	30	10	0	0	737090.4166666666	141.8539286229583	27.86666534871256
2018	1	31	10	0	0	737091.4166666666	141.6519043265217	28.08392410839475
2018	2	1	10	0	0	737092.4166666666	141.449011187659	28.30685169778812
2018	2	2	10	0	0	737093.4166666666	141.2452834494246	28.53535704170176
2018	2	3	10	0	0	737094.4166666666	141.0407524879955	28.76934661818087
2018	2	4	10	0	0	737095.4166666666	140.8354467868788	29.00872452335421
2018	2	5	10	0	0	737096.4166666666	140.6293919147036	29.25339253664382
2018	2	6	10	0	0	737097.4166666666	140.42261050623	29.50325018610399
2018	2	7	10	0	0	737098.4166666666	140.2151222469901	29.75819481391525
2018	2	8	10	0	0	737099.4166666666	140.0069438612098	30.01812164177588
2018	2	9	10	0	0	737100.4166666666	139.7980891030274	30.28292383611407
2018	2	10	10	0	0	737101.4166666666	139.5885687513519	30.55249257311505
2018	2	11	10	0	0	737102.4166666666	139.3783906077472	30.82671710327758
2018	2	12	10	0	0	737103.4166666666	139.1675594978358	31.10548481556206
2018	2	13	10	0	0	737104.4166666666	138.9560772759301	31.3886813009325
2018	2	14	10	0	0	737105.4166666666	138.7439428330233	31.67619041527952
2018	2	15	10	0	0	737106.4166666666	138.5311521080579	31.96789434162157
2018	2	16	10	0	0	737107.4166666666	138.3176981024782	32.26367365148378
2018	2	17	10	0	0	737108.4166666666	138.1035708980154	32.56340736541162
2018	2	18	10	0	0	737109.4166666666	137.8887576779568	32.8669730125978
2018	2	19	10	0	0	737110.4166666666	137.6732427515748	33.17424668952513
2018	2	20	10	0	0	737111.4166666666	137.4570075820496	33.4851031175906
2018	2	21	10	0	0	737112.4166666666	137.240030817638	33.79941569969738
2018	2	22	10	0	0	737113.4166666666	137.0222883263603	34.11705657572237
2018	2	23	10	0	0	737114.4166666666	136.803753234351	34.43789667702824
2018	2	24	10	0	0	737115.4166666666	136.5843959674011	34.76180577968792
2018	2	25	10	0	0	737116.4166666666	136.3641842965663	35.08865255676116
2018	2	26	10	0	0	737117.4166666666	136.1430833872069	35.41830462935476
2018	2	27	10	0	0	737118.4166666666	135.9210558520494	35.75062861666382
2018	2	28	10	0	0	737119.4166666666	135.6980618081279	36.08549018488988
2018	3	1	10	0	0	737120.4166666666	135.4740589379693	36.42275409517264
2018	3	2	10	0	0	737121.4166666666	135.2490025548519	36.76228425041382
2018	3	3	10	0	0	737122.4166666666	135.022845672606	37.10394374123445
2018	3	4	10	0	0	737123.4166666666	134.7955390800072	37.44759489094127
2018	3	5	10	0	0	737124.4166666666	134.5670314199444	37.79309929967012
2018	3	6	10	0	0	737125.4166666666	134.3372692735915	38.14031788770976
2018	3	7	10	0	0	737126.4166666666	134.106197249811	38.4891109381051
2018	3	8	10	0	0	737127.4166666666	133.8737580800228	38.83933813861329
2018	3	9	10	0	0	737128.4166666666	133.6398927188654	39.19085862313825
2018	3	10	10	0	0	737129.4166666666	133.4045404507123	39.54353101264433
2018	3	11	10	0	0	737130.4166666666	133.167639002569	39.89721345573933
2018	3	12	10	0	0	737131.4166666666	132.9291246636164	40.25176366906538
2018	3	13	10	0	0	737132.4166666666	132.6889324113038	40.60703897742951
2018	3	14	10	0	0	737133.4166666666	132.4469960450754	40.96289635407671
2018	3	15	10	0	0	737134.4166666666	132.2032483272286	41.31919246096293
2018	3	16	10	0	0	737135.4166666666	131.9576211318738	41.67578368939685
2018	3	17	10	0	0	737136.4166666666	131.7100456018676	42.03252620100031
2018	3	18	10	0	0	737137.4166666666	131.4604523144959	42.38927596932526
2018	3	19	10	0	0	737138.4166666666	131.2087714557063	42.74588882206791
2018	3	20	10	0	0	737139.4166666666	130.9549330038854	43.10222048433358
2018	3	21	10	0	0	737140.4166666666	130.6988669228489	43.45812662280888
2018	3	22	10	0	0	737141.4166666666	130.4405033649036	43.81346289125906
2018	3	23	10	0	0	737142.4166666666	130.1797728837892	44.16808497738628
2018	3	24	10	0	0	737143.4166666666	129.9166066583647	44.52184865134299
2018	3	25	10	0	0	737144.4166666666	129.6509367267087	44.87460981599394
2018	3	26	10	0	0	737145.4166666666	129.3826962313368	45.22622455919353
2018	3	27	10	0	0	737146.4166666666	129.1118196753494	45.57654920819646
2018	3	28	10	0	0	737147.4166666666	128.8382431900525	45.92544038651821
2018	3	29	10	0	0	737148.4166666666	128.5619048138329	46.27275507331765
2018	3	30	10	0	0	737149.4166666666	128.2827447825207	46.61835066558198
2018	3	31	10	0	0	737150.4166666666	128.0007058311852	46.96208504326422
2018	4	1	10	0	0	737151.4166666666	127.7157335072177	47.30381663760501
2018	4	2	10	0	0	737152.4166666666	127.4277764947554	47.64340450281998
2018	4	3	10	0	0	737153.4166666666	127.1367869499164	47.98070839130249
2018	4	4	10	0	0	737154.4166666666	126.8427208466744	48.31558883253856
2018	4	5	10	0	0	737155.4166666666	126.5455383329786	48.64790721593172
2018	4	6	10	0	0	737156.4166666666	126.2452040963703	48.97752587765367
2018	4	7	10	0	0	737157.4166666666	125.9416877386124	49.30430819164573
2018	4	8	10	0	0	737158.4166666666	125.6349641584723	49.62811866499374
2018	4	9	10	0	0	737159.4166666666	125.3250139414441	49.94882303756954
2018	4	10	10	0	0	737160.4166666666	125.011823755868	50.26628838631809
2018	4	11	10	0	0	737161.4166666666	124.6953867536622	50.58038323400186
2018	4	12	10	0	0	737162.4166666666	124.3757029744578	50.89097766251736
2018	4	13	10	0	0	737163.4166666666	124.0527797516962	51.1979434308271
2018	4	14	10	0	0	737164.4166666666	123.7266321187143	51.50115409743295
2018	4	15	10	0	0	737165.4166666666	123.397283213099	51.80048514730007
2018	4	16	10	0	0	737166.4166666666	123.0647646770251	52.09581412317208
2018	4	17	10	0	0	737167.4166666666	122.7291170515452	52.38702076108954
2018	4	18	10	0	0	737168.4166666666	122.390390162323	52.67398712995328
2018	4	19	10	0	0	737169.4166666666	122.0486434941688	52.95659777485947
2018	4	20	10	0	0	737170.4166666666	121.7039465517948	53.23473986390506
2018	4	21	10	0	0	737171.4166666666	121.3563792037706	53.50830333812515
2018	4	22	10	0	0	737172.4166666666	121.0060320069883	53.77718106423376
